Sl no.,Duration (in seconds),AIToolName_1,AIToolName_2,AIToolName_3,AIToolName_4,AIToolName_5,S1_1,S1_2,S1_3,S1_4,S1_5,HM_1,HM_2,HM_3,HM_4,Asp_1,Asp_2,Asp_3,Asp_4,Asp_5,Who,How ,Why,When_1,When_2,When_3,When_4,When_5,PE_1,PE_2,PE_3,PE_4,PE_5,EE_1,EE_2,EE_3,EE_4,AC_1,PA_1,PA_2,PA_3,PA_4,PA_5,PA_6,PA_7,PA_8,PA_9,PA_10,NA_1,NA_2,NA_3,NA_4,NA_5,NA_6,NA_7,NA_8,NA_9,NA_10,AIUse_1,AIUse_2,AIUse_3,AIUse_4,AIUse_5,AIUse_6,AIUse_7,AIUse_8,AIUse_9,AIObj_1,AIObj_2,AIObj_3,AIObj_4,AIObj_5,AIObj_6,AIObj_7,AIObj_8,AC_2,AITask_1,AITask_2,AITask_3,AITask_4,AITask_5,AITask_7,AITask_8,AITask_6,Freq,AIL_1,AIL_2,AIL_3,AIL_4,AIL_5,AIL_6,AIL_7,AIL_8,AC_3,Gender,Age,WrkExp,AIExp,WhoHuman,WhoAgent,WhoBoth,WhoNotSure,HowContinuously,HowDiscretely,HowBoth,HowNotSure,HowNever,WhyPreEmptively,WhyCorrectively,WhyBoth,WhyNotSure,WhyNever,LevelOfAutonomy,PATotal,NATotal,PAScaled,NAScaled
11,624,chatgpt,,,,,2,3,3,5,5,3,5,3,6,,,,1,,3,1,2,,,,1,,3,2,5,3,6,5,2,5,6,1,76,11,8,19,19,11,15,6,55,58,17,17,83,77,9,9,55,12,15,14,2,2,1,6,5,5,6,5,2,2,3,2,5,6,2,3,7,7,,,1,1,,,,,1,3,5,5,5,5,3,3,3,1,2,29,8,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,278,308,1.95,2.16
12,331,ChatGPT,,,,,3,2,4,3,4,5,5,4,5,1,1,,1,,1,1,1,1,,,,,5,4,5,5,5,4,4,5,5,1,72,57,65,54,32,43,57,67,51,67,29,5,7,5,5,6,4,14,3,2,4,4,3,5,3,4,5,3,3,3,4,3,3,3,3,3,4,7,,,,,1,1,,,3,4,7,5,6,6,3,3,3,1,2,34,6,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,565,80,3.96,0.56
13,427,Chat gpt,canva,grammarly,,,1,4,5,3,2,5,6,5,5,1,,1,1,,1,2,4,,,1,,,5,3,3,4,7,5,5,5,5,1,78,54,33,43,41,53,72,62,56,58,26,17,49,17,6,2,48,31,19,19,3,4,3,4,5,5,5,5,5,4,3,3,4,2,3,5,3,7,1,1,,1,1,1,,,1,5,5,3,5,4,5,3,3,1,1,36,13,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,550,234,3.85,1.64
14,463,Chat gpt,Alexa,,,,1,5,2,5,5,6,6,6,6,1,,,1,,3,2,3,,,,1,,5,5,4,5,6,6,6,6,4,1,81,50,50,64,7,10,64,12,8,6,6,10,41,11,8,7,39,8,11,7,4,3,3,2,2,2,2,2,2,3,2,1,4,2,2,1,4,7,,,,1,1,1,,,1,4,5,5,5,6,3,3,4,1,1,24,6,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,4,352,148,2.46,1.04
15,450,Chatgpt,Bing,,,,4,4,4,4,4,6,6,6,6,1,1,1,1,,1,1,3,1,1,1,,,6,6,6,6,6,6,6,6,6,1,93,79,86,89,85,87,90,88,83,82,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,4,7,,,,,,1,,,1,5,5,5,5,6,5,5,5,1,2,38,13,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,862,0,6.03,0
16,502,ChatGPT,Gemini Advanced,,,,1,4,1,4,4,5,6,5,5,,,,1,,1,1,3,,,,,1,5,5,6,5,7,6,6,7,7,1,79,40,80,80,40,81,78,100,62,87,5,1,38,0,0,0,0,9,0,0,6,6,4,2,5,1,2,2,2,1,2,1,1,1,1,1,7,7,,1,,1,1,1,,,1,4,5,6,6,6,6,5,7,1,1,36,14,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,727,53,5.09,0.37
17,260,ChatGPT,,,,,2,3,3,3,3,5,5,5,5,1,,,1,,1,1,4,,,1,,,4,5,4,4,5,5,4,3,4,1,60,79,60,61,19,40,39,61,41,41,0,0,10,0,0,0,16,21,0,0,5,5,4,4,4,3,5,4,3,3,2,4,4,3,2,4,3,7,,1,,,1,1,,,3,4,4,4,3,4,5,5,5,1,1,25,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4,501,47,3.51,0.33
18,297,ChatGPT,,,,,4,5,2,6,5,2,2,2,3,1,1,1,1,,3,1,3,,,1,,,1,1,1,1,4,5,3,6,5,1,14,7,10,9,5,52,5,36,62,7,12,61,61,34,53,62,58,65,20,53,2,2,2,3,5,5,6,5,5,7,7,7,7,7,7,6,7,7,1,,,1,,1,1,,2,5,5,6,7,6,5,6,3,1,1,25,3,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,207,479,1.45,3.35
19,490,Copilot,,,,,2,6,2,6,7,6,7,6,5,1,1,,1,,1,3,3,,,1,,,5,5,6,6,7,5,3,6,6,1,88,90,60,82,59,79,70,47,69,80,5,4,61,23,4,4,27,62,20,3,2,5,6,1,2,4,6,5,6,2,1,1,3,2,4,1,1,7,,1,,,,1,1,,3,5,6,5,5,6,3,3,3,1,1,30,13,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,4,724,213,5.07,1.49
20,537,Chatgpt,,,,,4,2,3,2,2,5,5,4,3,,,,1,,3,2,1,1,,1,,,3,3,4,3,5,2,5,5,4,1,80,41,21,51,18,28,36,18,22,15,13,10,43,21,21,18,15,33,9,9,3,5,2,4,3,4,3,5,5,3,5,2,3,4,5,4,5,7,,,,1,,,,,1,5,5,5,4,5,3,4,4,1,1,30,7,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,4,330,192,2.31,1.34
21,340,Chatgpt,,,,,1,2,2,2,2,2,3,4,4,1,,1,,,1,1,3,1,,,,,5,3,5,3,6,6,5,6,5,1,74,16,18,57,9,11,11,11,42,13,8,7,6,5,5,36,4,3,3,3,5,5,5,5,3,5,6,5,5,3,2,3,2,3,3,2,2,7,,,,,1,,,,3,4,4,4,4,5,4,4,3,1,2,23,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,262,80,1.83,0.56
22,651,ChatGPT,Synthesia,,,,4,6,6,6,6,7,7,7,7,1,,,1,,3,1,1,,,1,,,5,5,5,5,5,5,5,5,5,5,100,92,92,88,86,87,88,93,94,94,2,3,2,2,3,4,4,2,2,3,6,6,6,6,6,6,6,6,6,2,2,2,2,2,4,2,2,7,1,,,1,1,,,,1,5,5,5,5,5,5,5,5,2,1,39,8,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,914,27,6.4,0.19
23,400,Chat GPT 3.5,Fast Reports,,,,2,4,4,4,6,5,6,4,5,,,1,,,1,1,1,,,1,,,4,3,3,5,6,6,6,6,6,1,81,52,41,59,41,66,48,48,81,40,0,0,0,0,0,0,0,0,0,0,5,6,5,4,4,6,6,6,5,1,2,2,2,1,1,1,2,7,,,,,1,,,,1,6,6,6,6,6,6,6,6,1,2,47,24,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,557,0,3.9,0
24,604,github copilot,bing copilot,,,,4,4,3,4,4,6,6,4,5,1,1,1,1,,3,3,3,,,1,,,4,4,4,5,6,6,6,6,5,1,84,85,82,88,55,67,86,85,85,78,11,15,14,16,4,15,3,18,18,4,5,5,5,4,3,4,5,5,4,3,2,3,2,2,2,2,2,1,1,1,,,,,,,1,3,5,4,4,5,4,3,3,1,2,35,11,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,795,118,5.57,0.83
25,333,Chat GPT,,,,,5,6,5,6,4,6,6,6,7,,1,1,1,,1,3,2,,,1,,,6,3,6,4,6,5,6,6,6,1,69,49,54,72,68,46,81,72,73,71,13,15,35,45,31,15,36,34,16,19,6,6,6,5,5,4,7,6,4,3,3,2,5,1,2,4,4,7,,1,,1,,,,,4,5,5,3,6,7,2,4,3,1,2,29,11,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,4,655,259,4.59,1.81
26,371,Chat GPT,,,,,2,4,2,4,5,5,6,5,6,1,,,1,,4,4,1,,,,1,,5,4,5,3,6,6,6,6,6,1,75,74,23,67,32,58,77,69,83,24,7,5,66,15,11,17,37,13,10,9,3,3,3,1,5,5,4,2,3,2,2,2,2,2,2,2,5,7,,,,,1,1,,,3,4,3,5,5,6,3,3,5,1,1,35,16,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4,582,190,4.07,1.33
27,286,ChatGPT,,,,,6,7,6,7,7,7,7,7,7,1,1,1,1,,1,3,3,1,,1,,,7,7,6,7,7,7,7,7,7,1,100,92,82,94,99,99,99,98,85,95,0,2,8,0,0,2,9,1,12,0,5,6,5,7,7,7,7,7,7,1,1,1,1,1,1,1,1,7,,,1,1,1,1,,,1,7,7,7,7,7,7,6,6,1,2,29,5,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,943,34,6.6,0.24
28,410,Chat GPT,,,,,4,6,3,5,3,6,6,6,6,,,,1,,1,4,3,,,1,1,,5,5,6,6,5,6,6,6,6,1,64,77,46,68,52,52,57,45,77,46,3,11,47,3,5,4,32,30,3,3,6,5,6,3,5,5,3,6,5,3,2,2,3,2,2,2,3,7,1,1,1,,1,1,,,1,6,5,6,6,6,3,3,6,1,1,43,25,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,584,141,4.09,0.99
29,449,Chat gpt ,,,,,3,3,5,6,4,7,6,5,6,1,1,,1,,1,2,3,1,,,,,5,5,6,7,5,6,6,7,5,1,77,59,67,66,56,57,66,85,91,79,8,12,7,10,13,9,10,9,10,10,5,7,6,7,6,7,7,6,6,1,2,5,2,1,3,1,6,7,,1,1,,,1,,,3,5,5,5,6,6,5,5,4,1,2,30,10,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,703,98,4.92,0.69
30,282,Chatgpt,,,,,3,5,2,2,5,6,6,6,6,1,1,,1,,1,1,1,1,,,,,7,6,6,7,7,7,7,7,7,1,84,61,19,81,40,83,37,56,53,38,0,0,25,1,2,0,1,1,2,4,4,2,2,6,2,6,6,6,2,2,2,2,2,2,2,2,2,7,,,,,1,1,,,3,5,2,5,6,6,5,2,5,1,1,31,7,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,552,36,3.86,0.25
31,372,ChatGPT-4,,,,,2,4,5,4,4,6,6,7,6,1,1,1,1,,3,1,3,1,1,1,,,4,4,6,5,7,6,7,6,5,1,100,62,42,100,18,79,17,22,100,61,0,0,0,0,0,0,0,9,0,0,5,5,5,7,6,7,7,7,7,2,2,4,1,2,4,3,4,7,1,1,,,,,1,,1,6,6,7,7,7,5,4,5,1,2,31,12,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,601,9,4.21,0.06
32,371,co-pilot,,,,,2,3,2,4,5,3,3,2,3,1,1,,,,3,3,2,,,1,,,4,4,2,3,5,3,3,3,4,1,29,8,13,9,1,30,5,39,40,58,20,19,0,0,21,23,0,20,20,21,3,2,4,4,4,4,4,3,3,5,4,4,3,4,4,3,4,7,,1,,,1,,,,2,4,4,3,5,3,4,4,4,1,2,62,42,11,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,232,144,1.62,1.01
33,765,ChatGPT,,,,,2,6,4,5,5,6,6,6,6,1,1,1,1,,4,5,2,,,,,1,2,2,4,5,7,6,6,6,6,1,73,54,5,40,3,16,63,73,42,17,69,33,8,8,3,3,12,53,16,10,4,4,5,1,1,1,2,2,2,2,2,1,2,2,2,2,2,7,,,,,,1,,,5,4,4,5,5,5,4,4,5,1,1,20,3,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4,386,215,2.7,1.51
34,439,CHATGPT,,,,,1,1,1,1,1,5,5,5,4,1,,,1,,4,4,3,,,1,,,4,4,4,4,6,4,4,6,5,1,58,57,60,59,59,59,58,58,59,60,59,58,57,60,58,59,58,60,59,59,5,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,7,,,,,1,1,,,3,4,6,6,6,6,5,6,4,1,2,24,2,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,587,587,4.11,4.11
35,316,ChatGPT,,,,,4,5,5,5,5,6,6,6,6,1,,,1,,1,1,1,,,,1,,4,4,4,4,5,4,5,4,4,1,50,48,57,55,40,29,53,29,25,46,5,10,19,6,3,1,1,1,6,7,4,5,6,5,4,4,4,4,4,5,4,4,4,4,4,5,5,7,1,1,,1,1,1,,,1,4,4,4,5,5,5,4,4,4,2,27,5,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,432,59,3.02,0.41
36,279,Chat GPT,Gemini,,,,5,6,2,6,6,5,5,6,5,1,1,,1,,3,2,4,,,1,,,5,5,5,4,6,5,6,6,5,1,80,40,31,42,9,40,73,59,24,25,0,0,3,0,0,0,4,0,0,0,4,5,4,2,6,5,4,4,3,3,3,5,5,5,5,4,5,7,,,,,1,1,,,6,6,5,6,6,6,5,5,7,1,1,39,17,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4,423,7,2.96,0.05
37,293,Chat got,Miro based tool,,,,5,5,4,5,4,5,6,5,6,1,1,,1,,1,1,1,,,1,,,5,3,5,6,6,6,6,6,6,1,72,62,53,79,59,61,80,75,77,51,17,18,44,34,12,12,37,28,10,12,4,5,3,5,5,5,6,5,5,3,3,2,3,2,6,6,3,7,1,1,,1,,1,,,2,3,3,5,5,5,5,5,3,1,1,37,20,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,669,224,4.68,1.57
38,370,Chatgpt,,,,,1,1,1,1,1,5,5,5,5,,,,1,,1,2,3,,,,1,,4,4,4,4,4,6,5,5,6,1,27,15,13,19,19,16,16,18,25,15,14,18,16,16,13,16,9,9,11,9,6,4,4,4,4,4,5,4,4,4,5,2,4,5,4,4,5,7,,,,1,1,1,,,3,5,5,5,4,6,4,5,6,1,1,45,26,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4,183,131,1.28,0.92
39,351,ChatGPT,,,,,3,4,3,4,5,5,5,6,6,1,,,1,,3,3,1,,,,1,,4,4,5,5,6,6,6,6,5,1,100,80,49,80,47,79,39,60,80,81,0,0,10,0,0,0,0,0,0,0,5,5,5,4,4,4,5,5,5,2,3,2,4,3,2,2,3,7,,,,,1,,,,5,5,5,5,6,6,5,5,5,1,1,46,21,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,695,10,4.87,0.07
40,268,CloudSky,,,,,1,4,1,7,4,4,4,4,7,1,,1,1,,1,2,1,,,1,,,5,5,7,7,5,5,7,7,5,1,0,1,78,0,0,28,0,56,61,20,0,0,0,0,29,55,1,20,0,24,6,1,1,3,2,6,6,2,1,3,1,5,6,1,5,1,3,7,1,,,1,,,,,1,5,5,5,5,3,5,5,5,1,1,34,18,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,244,129,1.71,0.9
41,507,Chat GPT,,,,,2,4,4,4,4,5,5,5,6,1,,1,1,,1,2,3,,,,1,,2,3,3,4,6,7,7,7,7,1,79,60,50,50,37,69,62,71,71,52,0,2,9,1,0,0,1,21,0,0,5,5,2,2,5,2,5,2,2,2,2,2,1,2,3,1,4,7,1,,,,1,1,,,2,6,6,6,6,6,6,5,5,1,1,23,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4,601,34,4.21,0.24
42,233,None,,,,,5,5,2,5,5,4,4,4,4,,,,,1,4,4,4,,,,1,,5,4,4,5,4,3,3,2,2,1,55,55,57,57,60,61,55,55,58,56,41,39,62,39,41,41,59,78,61,53,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,,1,,,,,,,7,4,4,4,4,4,5,4,5,1,1,55,22,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4,569,514,3.98,3.6
43,287,ChatGPT,Photoshop,,,,4,4,4,4,4,5,5,5,5,,,,1,,1,2,3,1,,,,,3,4,4,3,5,4,5,5,4,4,58,52,40,46,22,12,45,25,37,69,51,39,32,32,40,18,8,32,15,29,5,5,5,5,4,5,5,6,4,3,3,3,4,4,4,5,4,7,,,,,1,,,,5,5,6,4,6,6,5,4,5,1,1,35,9,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4,406,296,2.84,2.07
44,393,chat gpt,,,,,1,3,1,1,4,6,6,6,6,1,1,1,1,,1,2,3,,,1,,,6,6,6,6,6,6,6,6,7,1,75,76,76,74,14,72,74,76,81,84,0,0,0,0,0,0,0,0,0,0,6,5,6,5,6,6,6,5,5,1,1,1,1,1,1,1,5,7,,,,,,1,,,3,6,3,6,6,5,5,3,5,1,1,51,35,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,702,0,4.91,0
45,583,ChatGPT,SAP,,,,3,4,3,4,5,4,5,5,5,1,1,,,,3,3,3,,,1,,,3,5,3,3,6,6,6,6,6,1,60,40,60,60,58,79,59,60,80,79,3,2,41,5,18,40,10,8,4,5,5,6,6,5,5,5,6,5,6,3,3,2,3,3,4,5,5,7,,1,,1,,,1,,3,5,5,6,5,6,5,5,5,1,3,54,29,5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,635,136,4.45,0.95
46,630,BRM,DQ Hub,,,,3,4,3,4,4,6,6,6,6,1,,1,1,,3,1,3,,1,1,,,5,5,5,5,5,5,5,5,5,1,79,80,67,75,74,77,77,78,82,77,4,3,4,4,5,4,3,2,3,2,5,5,5,5,5,5,5,5,5,2,3,3,3,3,4,3,4,7,1,1,,,,,1,,1,4,5,4,4,5,4,5,5,1,1,26,5,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,766,34,5.36,0.24
47,195,Chat gpt,,,,,1,1,1,1,1,4,4,4,4,,,,1,,1,3,1,1,,,,,1,1,1,1,1,6,6,6,6,1,19,40,22,34,20,30,27,28,11,12,0,0,0,0,0,0,0,0,0,0,6,6,5,6,6,6,6,6,6,3,4,3,5,3,2,2,3,7,1,,,,,,,,3,6,6,6,6,6,6,6,6,1,1,30,12,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4,243,0,1.7,0
48,487,ChatGPT,,,,,1,2,2,2,3,7,6,6,6,1,1,1,1,,1,2,3,,,1,,,4,4,5,3,6,6,6,7,6,1,90,75,0,75,30,70,90,70,90,15,0,0,25,0,0,0,10,0,0,0,2,5,2,5,5,5,6,6,5,2,1,1,2,2,1,1,3,7,,,,1,1,1,,,1,4,3,5,5,5,2,4,6,1,2,34,16,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,605,35,4.24,0.25
49,707,ChatGPT,,,,,3,6,5,6,4,5,5,4,6,1,1,1,1,,3,4,1,,,,1,,3,2,2,3,7,5,6,5,5,1,81,60,50,59,20,61,75,37,63,64,7,7,25,14,4,12,9,5,4,2,3,5,3,2,5,5,2,2,2,2,5,2,5,3,3,3,3,7,,,,,1,1,,,3,3,3,5,5,5,5,5,3,1,1,24,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4,570,89,3.99,0.62
50,637,Chat GPT,Canva,,,,2,5,2,2,5,5,5,5,5,,,,1,,3,2,4,,,,1,,2,1,2,2,2,3,4,3,3,1,41,45,11,32,1,44,5,36,48,24,17,12,15,9,14,8,7,4,7,10,3,5,2,3,3,2,2,2,3,3,5,3,5,5,5,3,5,7,,,,,1,1,,,6,5,5,5,5,5,5,5,6,1,2,43,22,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,4,287,103,2.01,0.72
51,439,ChatGPT,Gemini,,,,4,5,4,5,4,5,5,5,6,1,1,1,1,,3,2,3,,,,1,,4,4,4,4,6,7,7,7,7,1,80,61,58,58,12,67,88,59,60,58,4,3,1,3,1,1,1,0,1,0,6,4,5,5,6,6,6,6,4,2,2,2,2,3,3,2,5,7,1,,,1,1,,,,1,6,6,6,6,5,5,5,5,1,2,33,9,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,4,601,15,4.21,0.11
52,163,Chat GPT,,,,,3,2,2,2,4,6,4,5,2,,,1,1,,1,3,3,,,1,,,5,2,6,2,6,5,6,6,6,1,91,12,54,16,4,47,3,62,86,86,3,7,66,5,3,13,1,34,5,1,4,2,2,6,4,1,6,1,5,5,3,4,2,2,6,4,6,7,,,,,,1,1,,3,2,4,6,6,6,6,6,6,1,1,25,4,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,4,461,138,3.23,0.97
53,244,Chat gp,,,,,4,6,5,5,5,6,5,5,4,1,1,,1,,3,1,2,,,1,,,5,5,5,6,7,7,6,7,6,1,50,39,21,41,31,87,43,32,51,79,13,22,11,37,13,17,4,24,15,14,7,6,6,4,5,5,5,6,6,2,4,2,4,2,2,4,6,7,,,1,1,1,1,,,1,6,7,6,5,5,6,6,6,1,1,32,12,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,474,170,3.32,1.19
54,315,Otter.ai,Ultimate VA,Linkedin profile builder,,,6,6,6,6,6,6,6,4,4,,,,1,,1,2,4,,,1,,,3,3,3,3,5,6,5,7,5,1,56,21,78,79,77,74,55,79,66,55,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,6,5,5,3,5,5,3,3,5,3,5,7,,1,,,,,,,1,6,6,6,6,7,7,6,7,1,1,37,18,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,640,0,4.48,0
